frame,processing_time_ms
1,3571.7644691467285
2,175.4436492919922
3,173.13814163208008
4,178.81250381469727
5,174.1645336151123
6,173.66862297058105
7,173.14910888671875
8,174.86858367919922
9,175.4143238067627
10,174.95083808898926
11,174.1492748260498
12,168.96653175354004
13,176.45668983459473
14,176.9859790802002
15,173.2349395751953
16,180.3121566772461
17,186.25378608703613
18,171.3724136352539
19,177.398681640625
20,174.98445510864258
21,175.60935020446777
22,178.37929725646973
23,174.6041774749756
24,174.5433807373047
25,173.83050918579102
26,177.5033473968506
27,175.25339126586914
28,175.33254623413086
29,174.65710639953613
30,175.4615306854248
31,174.96156692504883
32,177.49667167663574
33,181.32996559143066
34,171.6005802154541
35,177.82211303710938
36,171.68784141540527
37,172.18995094299316
38,174.70717430114746
39,174.6525764465332
40,174.2269992828369
41,175.52447319030762
42,176.32412910461426
43,171.61297798156738
44,175.28223991394043
45,176.4836311340332
46,173.18105697631836
47,175.23193359375
48,176.61070823669434
49,180.42993545532227
50,178.19738388061523
51,175.8403778076172
52,174.20125007629395
53,174.1504669189453
54,176.50723457336426
55,170.1071262359619
56,174.9711036682129
57,181.60223960876465
58,183.66527557373047
59,174.9718189239502
60,169.71731185913086
61,180.79829216003418
62,179.98743057250977
63,183.42041969299316
64,180.3724765777588
65,179.13818359375
66,182.33871459960938
67,178.75909805297852
68,182.42216110229492
69,188.60459327697754
70,203.87578010559082
71,179.67987060546875
72,182.1150779724121
73,187.04605102539062
74,180.15336990356445
75,220.2160358428955
76,182.12080001831055
77,182.0850372314453
78,181.40602111816406
79,177.15740203857422
80,173.77042770385742
81,176.56207084655762
82,173.7055778503418
83,173.39158058166504
84,175.2035617828369
85,177.3509979248047
86,174.19910430908203
87,177.08611488342285
88,176.2237548828125
89,175.47869682312012
90,170.7479953765869
91,175.72712898254395
92,174.43323135375977
93,178.1017780303955
94,181.52093887329102
95,175.80366134643555
96,173.99024963378906
97,174.6673583984375
98,235.6727123260498
99,206.9530487060547
100,182.64269828796387
101,184.31711196899414
102,179.26549911499023
103,180.18579483032227
104,180.77754974365234
105,186.75804138183594
106,183.2106113433838
107,175.13561248779297
108,178.21431159973145
109,178.72357368469238
110,193.04370880126953
111,199.2661952972412
112,188.2157325744629
113,174.06201362609863
114,176.05042457580566
115,172.98007011413574
116,176.93567276000977
117,176.53703689575195
118,173.87747764587402
119,176.0575771331787
120,177.9932975769043
121,174.6540069580078
122,179.1524887084961
123,175.05383491516113
124,176.55611038208008
