frame,processing_time_ms
1,3607.25998878479
2,178.94744873046875
3,175.57525634765625
4,175.86302757263184
5,174.15499687194824
6,174.2868423461914
7,218.5497283935547
8,173.95544052124023
9,178.83682250976562
10,174.42655563354492
11,175.98366737365723
12,180.11975288391113
13,177.86264419555664
14,178.53522300720215
15,179.19087409973145
16,177.28829383850098
17,176.32508277893066
18,176.41806602478027
19,176.36728286743164
20,173.32029342651367
21,178.00521850585938
22,179.86488342285156
23,173.27356338500977
24,175.05455017089844
25,173.75516891479492
26,170.75014114379883
27,175.4281520843506
28,175.14753341674805
29,181.96678161621094
30,176.10669136047363
31,234.36403274536133
32,193.01223754882812
33,192.30175018310547
34,185.22357940673828
35,174.93867874145508
36,200.8535861968994
37,171.33426666259766
38,187.1471405029297
39,183.00962448120117
40,185.37640571594238
41,189.3768310546875
42,184.89432334899902
43,179.24261093139648
44,173.4631061553955
45,174.75008964538574
46,176.45764350891113
47,177.17790603637695
48,171.67425155639648
49,172.40333557128906
50,170.0570583343506
51,174.9415397644043
52,179.5337200164795
53,173.17867279052734
54,177.4125099182129
55,173.54273796081543
56,174.24654960632324
57,176.81527137756348
58,174.6985912322998
59,173.4788417816162
60,187.941312789917
61,190.92440605163574
62,178.93457412719727
63,180.30285835266113
64,176.0270595550537
65,177.13546752929688
66,175.19474029541016
67,174.454927444458
68,173.35987091064453
69,174.422025680542
70,176.30410194396973
71,170.02177238464355
72,172.30653762817383
73,173.6302375793457
74,191.51902198791504
75,187.07704544067383
76,188.16518783569336
77,189.8186206817627
78,178.75385284423828
79,177.63423919677734
80,170.60542106628418
81,176.65553092956543
82,186.04445457458496
83,186.29837036132812
84,179.20780181884766
85,176.91540718078613
86,183.95566940307617
87,183.5930347442627
88,182.5716495513916
89,179.5365810394287
90,175.004243850708
91,185.72044372558594
92,182.84893035888672
93,181.20312690734863
94,186.33389472961426
95,189.8024082183838
96,172.621488571167
97,174.44252967834473
98,175.29010772705078
99,175.95219612121582
100,175.91190338134766
101,175.10151863098145
102,181.2279224395752
103,178.05123329162598
104,171.56410217285156
105,175.9011745452881
106,175.82225799560547
107,171.81062698364258
108,174.0269660949707
109,173.18153381347656
110,174.85642433166504
111,172.61528968811035
112,168.57481002807617
113,171.60391807556152
114,172.8038787841797
115,173.19011688232422
116,168.93649101257324
117,175.31657218933105
118,173.75993728637695
119,170.8664894104004
120,170.31383514404297
121,173.65717887878418
122,172.82462120056152
123,173.68721961975098
124,171.9493865966797
125,169.2676544189453
126,174.75056648254395
127,173.59209060668945
128,172.23453521728516
129,175.16469955444336
130,173.6915111541748
131,163.20514678955078
