frame,police_id,can_intercept,time_to_intercept,distance
10,1,1,-1,0.0
10,11,1,-1,0.0
12,1,0,-1,0.0
14,1,0,3.0,75.58985776413051
15,1,0,3.0,112.76490474704127
15,11,0,3.0,112.76490474704127
28,1,0,-1,0.0
31,1,0,3.0,58.64327237801097
41,33,0,-1,0.0
43,33,0,3.0,64.83872169753468
43,41,0,3.0,64.83872169753468
44,33,0,3.0,77.34823345545263
44,41,0,3.0,77.34823345545263
47,33,0,3.0,63.50306353683007
47,41,0,3.0,63.50306353683007
49,33,0,3.0,63.147850430915256
49,41,0,3.0,63.147850430915256
61,33,1,11.40100692217078,0.0
61,41,1,9.965226150982085,0.0
63,33,0,3.0,45.48283700791854
63,41,0,3.0,45.48283700791854
65,33,0,3.0,104.60523145315551
65,41,0,3.0,104.60523145315551
67,33,0,3.0,44.48590946430881
67,41,0,3.0,44.48590946430881
68,33,0,3.0,87.43829281973298
68,41,0,3.0,87.43829281973298
70,33,0,3.0,43.32043885591304
70,41,0,3.0,43.32043885591304
73,33,0,3.0,68.25096880243798
74,33,0,3.0,80.01821443278756
76,33,0,3.0,25.834694753567955
79,33,0,3.0,33.486854783167715
82,41,0,3.0,40.23245130004489
84,41,0,3.0,84.24097104247413
86,41,0,3.0,40.962921776141044
87,41,0,3.0,59.44489513207502
88,16,1,28.735163927778114,0.0
88,54,1,28.89632881073849,0.0
89,41,0,3.0,37.57846049064724
90,16,0,3.0,23.591743721025736
90,54,0,3.0,23.591743721025736
91,33,0,3.0,69.94472794985528
91,41,0,3.0,69.94472794985528
92,41,0,3.0,88.16066115735013
93,16,0,3.0,58.62297369092164
93,54,0,3.0,58.62297369092164
94,41,0,3.0,48.12981657301692
95,54,0,3.0,51.40392894684518
96,54,0,3.0,125.30621217543091
97,41,0,3.0,56.05671223416206
98,54,0,3.0,67.02940378722867
99,33,0,3.0,73.43308479482666
100,54,0,3.0,56.044892331592095
101,33,0,3.0,59.72086969405566
102,54,0,3.0,101.55852794956304
103,33,0,3.0,78.65791455958534
103,41,0,3.0,78.65791455958534
104,54,0,3.0,53.10163381375833
105,41,0,3.0,63.878841611554385
106,41,0,3.0,82.70188788636861
106,12,0,3.0,82.70188788636861
107,54,0,3.0,39.74663212563332
109,41,0,3.0,63.55751062082784
110,41,0,3.0,102.4117632797486
