frame,processing_time_ms
1,3837.5563621520996
2,193.18294525146484
3,193.2971477508545
4,194.55647468566895
5,201.40528678894043
6,232.8784465789795
7,333.6179256439209
8,367.07234382629395
9,305.2208423614502
10,209.2437744140625
11,189.39924240112305
12,213.2878303527832
13,213.84763717651367
14,393.9242362976074
15,353.73973846435547
16,529.5419692993164
17,307.3275089263916
18,278.5773277282715
19,285.4154109954834
20,270.01476287841797
21,294.9411869049072
22,272.1991539001465
23,259.19222831726074
24,234.08126831054688
25,258.67509841918945
26,253.6320686340332
27,266.9186592102051
28,264.5530700683594
29,271.3818550109863
