frame,cars,police,robber
1,15,2,0
2,11,3,0
3,15,2,0
4,15,2,0
5,17,2,1
6,16,2,0
7,17,2,1
8,17,2,1
9,15,2,1
10,15,1,1
11,17,2,1
12,15,2,1
13,17,1,1
14,18,0,1
15,15,1,1
16,18,1,1
17,15,2,1
18,18,0,1
19,18,1,1
20,15,2,1
21,15,3,0
22,19,2,1
23,15,3,0
24,16,2,0
25,16,3,0
26,20,2,0
27,18,1,0
28,15,2,1
29,20,0,1
30,14,1,1
31,18,1,1
32,12,2,1
33,20,1,1
34,12,2,0
35,18,2,1
36,17,1,0
37,14,0,0
38,20,2,0
39,13,0,0
40,13,0,0
41,20,1,0
42,13,0,0
43,19,1,0
44,14,0,0
45,19,1,0
46,19,1,0
47,15,1,0
48,14,0,1
49,19,1,0
50,12,1,1
51,18,2,0
52,20,2,0
53,11,1,1
54,17,1,0
55,18,0,0
56,14,1,0
57,14,1,0
58,19,0,0
59,18,1,0
60,13,1,1
61,12,3,1
62,13,2,0
63,12,2,0
64,19,1,0
65,13,2,0
66,22,0,0
67,14,1,0
68,12,1,0
69,20,1,0
