frame,timestamp,x,y,vx,vy
8,8.879054546356201,133.0,450.0,21.897873021729218,0.0
9,9.215665102005005,164.0,450.0,92.09201309454163,0.0
10,9.532378435134888,176.0,450.0,37.84001557757701,0.0
12,10.040633201599121,187.0,450.0,21.660318116091716,0.0
14,10.561767816543579,198.0,450.0,21.128940208617934,0.0
15,11.110338687896729,215.0,429.0,30.993063165229152,-38.285548615871306
17,11.636563777923584,204.0,430.0,-20.90060046252149,1.9000545875019537
20,12.333402156829834,253.0,451.0,17.220099745350673,1.435008312112556
22,12.938247919082642,296.0,450.0,70.88425851687654,-1.6484711282994544
25,13.736901044845581,307.0,451.0,13.79858351509692,1.2544166831906292
27,14.282537937164307,318.0,451.0,20.1914508309431,0.0
28,14.822643518447876,362.0,450.0,81.50102654986064,-1.8522960579513783
30,15.419994592666626,364.0,451.0,3.3408596793277985,1.6704298396638992
32,16.028042316436768,367.0,450.0,4.938265170564233,-1.6460883901880776
33,16.35997462272644,375.0,450.0,24.0282084699884,0.0
35,16.96563196182251,377.0,450.0,3.3090842532457287,0.0
37,17.581839323043823,377.0,451.0,0.0,1.621919774540876
