frame,processing_time_ms
1,3786.3972187042236
2,196.64835929870605
3,194.68069076538086
4,201.796293258667
5,227.6906967163086
6,191.4997100830078
7,220.81565856933594
8,201.80344581604004
9,194.9009895324707
10,198.14562797546387
11,197.30329513549805
12,194.98491287231445
13,192.72470474243164
14,211.4708423614502
15,199.03850555419922
16,207.87453651428223
17,201.04503631591797
18,194.8399543762207
19,187.8643035888672
20,193.32051277160645
21,183.69603157043457
22,184.97610092163086
23,191.51997566223145
24,183.97164344787598
25,189.67604637145996
26,206.83693885803223
27,219.82073783874512
28,194.83709335327148
29,184.96417999267578
30,185.40000915527344
31,189.06426429748535
32,190.13071060180664
33,191.76578521728516
34,185.68754196166992
35,194.32377815246582
36,193.62807273864746
37,187.57057189941406
