frame,processing_time_ms
1,3858.8340282440186
2,218.57380867004395
3,189.1629695892334
4,180.63068389892578
5,191.6673183441162
6,189.0249252319336
7,189.51773643493652
8,197.3128318786621
9,189.24641609191895
10,194.51093673706055
11,185.58096885681152
12,189.98026847839355
13,193.55487823486328
14,198.62651824951172
15,184.00001525878906
16,194.44561004638672
17,189.37373161315918
18,185.11700630187988
19,187.1507167816162
20,187.82472610473633
21,184.3240261077881
22,185.44697761535645
23,185.18495559692383
24,188.3869171142578
25,184.52143669128418
26,183.00461769104004
27,188.0340576171875
28,190.51146507263184
