track_id,length_frames
1,11
2,8
3,13
4,13
5,6
6,13
7,12
8,13
9,13
10,2
11,11
12,13
13,8
14,3
15,13
16,24
17,10
18,20
19,2
20,17
21,2
22,2
23,24
24,24
25,17
26,5
27,2
28,5
29,2
30,15
31,23
32,7
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,5
41,15
42,20
43,20
44,20
45,16
46,13
47,20
48,15
49,4
50,5
51,10
52,4
53,4
55,1
