frame,active_count
1,17
2,13
3,17
4,9
5,20
6,8
7,15
8,13
9,9
10,13
11,17
12,17
13,14
14,14
15,17
16,13
17,14
18,17
19,16
20,13
21,18
22,13
23,16
24,12
25,14
26,10
27,15
28,13
29,18
30,17
31,11
32,10
33,16
34,12
35,17
36,13
37,11
38,16
39,11
40,19
41,18
42,12
43,12
44,15
45,13
46,18
47,18
48,11
49,9
50,11
51,18
52,12
53,19
54,9
55,6
56,8
57,16
58,19
59,9
60,19
61,9
62,9
63,17
64,10
65,17
66,9
67,10
68,16
69,10
70,15
71,8
72,14
73,8
74,16
75,12
76,11
77,18
78,10
79,15
80,12
81,16
82,15
83,12
84,12
85,14
86,12
87,17
88,16
89,14
90,14
91,16
92,13
93,16
94,16
95,14
96,14
97,17
98,13
99,16
100,12
101,14
102,12
103,16
104,11
105,18
106,18
107,12
108,11
109,14
110,11
111,16
112,14
113,11
114,12
115,16
116,14
117,18
118,16
119,14
120,15
121,14
122,13
123,17
124,19
125,12
126,14
127,18
128,17
129,18
130,18
131,15
132,13
133,19
134,15
135,20
136,19
137,16
138,16
139,18
140,15
141,19
142,18
143,14
144,12
145,16
146,14
147,17
148,17
149,13
150,14
151,17
152,15
153,17
154,18
155,14
156,12
157,15
158,11
159,15
160,20
161,9
162,8
163,19
164,11
165,19
166,20
167,10
168,16
169,10
170,19
171,12
172,20
173,19
174,13
175,11
176,20
177,11
178,22
179,22
180,14
181,14
182,22
183,16
184,22
185,22
186,16
187,20
188,15
189,15
190,21
191,21
192,14
193,17
194,22
195,16
196,23
