frame,timestamp,x,y,vx,vy
9,11.401587963104248,145.0,450.0,19.663989811983704,0.0
13,12.518342971801758,189.0,450.0,39.43430144105027,0.0
15,13.034161806106567,200.0,450.0,21.305680225537348,0.0
18,13.90705418586731,241.0,450.0,46.95418534847482,0.0
19,14.212835550308228,248.0,451.0,22.95350606240418,3.279072294629169
22,14.930490255355835,253.0,451.0,6.965551417787208,0.0
23,15.503535747528076,281.0,451.0,48.85037889659522,0.0
24,15.810168027877808,288.0,450.0,22.856601916956784,-3.2652288452795406
25,16.12298321723938,295.0,451.0,22.38469796037865,3.197813994339807
26,16.432634592056274,302.0,450.0,22.410463870154217,-3.2014948385934594
28,17.058478116989136,309.0,451.0,11.211213608582192,1.6016019440831704
31,17.821967601776123,316.0,451.0,9.192059672988268,0.0
33,18.511021614074707,344.0,451.0,40.5815296792608,0.0
34,18.834786891937256,351.0,451.0,21.509314313008975,0.0
35,19.164494037628174,357.0,450.0,18.228324287677218,-3.038054047946203
36,19.480929374694824,364.0,450.0,22.095485797541212,0.0
39,20.204042673110962,371.0,450.0,9.680073642092047,0.0
