frame,processing_time_ms
1,3955.7132720947266
2,200.58178901672363
3,209.99741554260254
4,188.84944915771484
5,190.98377227783203
6,190.97018241882324
7,188.5700225830078
8,200.21677017211914
9,199.5227336883545
10,230.8347225189209
11,199.45430755615234
12,191.55502319335938
13,198.5037326812744
14,210.7398509979248
15,194.87571716308594
16,199.67937469482422
17,211.1349105834961
18,189.9263858795166
19,192.2929286956787
20,199.16009902954102
21,209.49077606201172
22,203.05299758911133
23,210.0372314453125
24,215.64412117004395
25,200.81543922424316
26,205.7938575744629
27,208.04882049560547
28,196.29764556884766
29,190.0181770324707
30,201.33018493652344
31,191.94626808166504
32,193.70150566101074
33,218.83559226989746
34,221.71497344970703
35,221.79794311523438
36,189.71490859985352
37,191.4987564086914
38,203.28283309936523
39,195.73235511779785
40,193.2690143585205
41,192.0926570892334
42,186.13219261169434
43,189.8787021636963
44,190.10162353515625
45,192.05498695373535
46,191.8342113494873
47,196.030855178833
48,223.33407402038574
49,192.55352020263672
50,186.81097030639648
51,194.64445114135742
52,189.76831436157227
53,191.21479988098145
54,187.55149841308594
55,191.52331352233887
56,191.18022918701172
57,191.9565200805664
58,187.26539611816406
59,186.21110916137695
60,188.65060806274414
61,198.70400428771973
62,199.85651969909668
63,197.4203586578369
64,201.00736618041992
65,192.65151023864746
66,185.02354621887207
67,194.43011283874512
68,272.72820472717285
69,191.57862663269043
70,186.13028526306152
71,188.89212608337402
72,192.36063957214355
73,187.88909912109375
74,186.3687038421631
75,187.12782859802246
76,185.03904342651367
77,188.5371208190918
78,185.59551239013672
79,189.38827514648438
80,188.6296272277832
81,190.98591804504395
82,188.8296604156494
83,184.1726303100586
84,199.1274356842041
85,192.33083724975586
86,223.80352020263672
