frame,active_count
1,14
2,17
3,14
4,17
5,24
6,17
7,17
8,24
9,17
10,24
11,17
12,24
13,17
14,17
15,24
16,17
17,24
18,17
19,17
20,17
21,17
22,17
23,17
24,17
25,17
26,17
27,17
28,17
29,17
30,17
31,17
32,17
33,17
34,17
35,17
36,17
37,17
