frame,active_count
1,17
2,14
3,17
4,14
5,13
6,11
7,13
8,11
9,18
10,19
11,19
12,19
13,18
14,15
15,18
16,15
17,17
18,16
19,18
20,16
21,16
22,14
23,16
24,15
25,19
26,19
27,16
28,17
29,19
30,15
31,18
32,17
33,14
34,13
35,16
36,14
37,18
38,19
39,16
