frame,active_count
1,17
2,13
3,17
4,17
5,23
6,23
7,17
8,17
9,23
10,23
11,17
12,23
13,23
14,17
15,17
16,17
17,23
18,17
19,23
20,23
21,17
22,17
23,17
24,17
25,17
26,17
27,17
28,23
29,23
30,17
31,23
32,17
33,23
34,23
35,23
36,17
37,23
38,23
39,17
40,23
41,17
42,15
43,23
44,17
45,23
46,17
47,23
48,20
49,17
50,17
51,20
52,17
53,20
54,20
55,17
56,17
57,20
58,20
59,17
60,20
61,17
62,17
63,17
64,20
65,17
66,20
67,26
68,17
69,17
70,26
71,17
72,26
73,26
74,17
75,17
76,26
77,17
78,26
79,26
80,16
81,23
82,26
83,23
84,26
85,26
86,23
87,26
88,23
89,23
90,26
91,23
92,26
93,23
94,26
95,23
96,23
97,26
98,23
99,26
100,23
101,22
102,26
103,22
104,26
105,26
106,22
107,22
108,26
109,22
110,26
111,24
112,22
113,22
114,24
115,28
116,24
117,28
118,28
119,24
120,28
121,24
122,24
123,28
124,28
125,24
126,24
127,28
128,24
129,28
130,24
131,27
132,24
133,23
134,27
135,23
136,27
137,23
138,27
139,22
140,22
141,27
142,27
143,21
144,27
145,21
146,21
147,27
148,27
149,21
150,27
151,21
152,27
153,27
154,20
