frame,timestamp,x,y,vx,vy
5,10.241761922836304,37.0,132.0,0.0,0.0
6,10.438293218612671,35.0,8.0,0.0,0.0
7,10.734480619430542,37.0,143.0,0.0,22.319938502949313
8,10.936955213546753,36.0,14.0,2.0033472675444965,12.02008360526698
9,11.248226165771484,35.0,25.0,-3.207578942860442,35.28336837146487
10,11.448255062103271,36.0,154.0,-1.4026937526796064,15.42963127947567
11,12.013692378997803,35.0,25.0,0.0,0.0
12,12.314560413360596,36.0,154.0,0.0,0.0
13,12.629843473434448,35.0,25.0,0.0,0.0
14,12.835301876068115,36.0,154.0,0.0,0.0
