frame,timestamp,x,y,vx,vy
9,13.697581052780151,179.0,450.0,57.25499124280893,0.0
11,14.229904413223267,188.0,450.0,16.90878134892248,0.0
13,14.838508605957031,200.0,450.0,19.69919033616685,0.0
14,15.22692584991455,207.0,430.0,18.021812681997417,-51.49089337713548
16,15.760542631149292,202.0,430.0,-9.387985324110467,0.0
18,16.2707257270813,247.0,451.0,13.719974485444787,0.0
19,16.797775983810425,269.0,450.0,41.679850688290124,-1.894538667649551
20,17.107797622680664,274.0,450.0,16.064615365759494,0.0
21,17.426551818847656,281.0,451.0,22.047186480387776,3.1495980686268252
22,17.72855281829834,288.0,451.0,23.159789227905215,0.0
23,18.046549320220947,295.0,450.0,22.048527576309652,-3.1497896537585217
24,18.359946727752686,301.0,450.0,19.083132700965386,0.0
25,18.664711475372314,308.0,451.0,23.005646388458363,3.286520912636909
26,18.977407217025757,316.0,451.0,25.583935867905208,0.0
27,19.289862155914307,322.0,451.0,19.20499641706712,0.0
28,19.603452682495117,330.0,451.0,25.467950294341776,0.0
29,19.941866636276245,336.0,451.0,17.77718251655629,0.0
30,20.25238347053528,344.0,451.0,25.774085985742015,0.0
31,20.561593294143677,350.0,450.0,19.37179700345471,-3.2286328339091184
32,20.868332147598267,357.0,451.0,22.830386365279924,3.2614837664685608
33,21.181572914123535,363.0,451.0,19.128838944478396,0.0
34,21.494614839553833,370.0,450.0,22.382308905009772,-3.197472700715682
