track_id,length_frames
0,37
1,37
2,37
3,37
4,37
5,37
6,37
7,37
8,37
9,37
10,37
11,37
12,37
13,37
14,35
15,35
16,35
17,6
18,6
19,6
20,6
21,6
22,6
23,6
