frame,active_count
1,14
2,17
3,14
4,17
5,17
6,25
7,17
8,25
9,17
10,17
11,25
12,17
13,25
14,17
15,17
16,25
17,17
18,25
19,17
20,22
21,25
22,22
23,25
24,25
25,22
26,22
27,25
28,22
29,25
30,25
31,22
32,22
33,25
34,22
35,25
36,22
37,22
38,25
39,22
40,25
41,25
42,22
43,21
44,25
45,21
46,25
47,21
48,21
49,25
50,21
51,25
52,24
53,21
54,23
55,23
56,21
57,21
58,23
59,21
60,23
61,21
62,21
63,23
64,21
65,21
66,21
67,23
68,21
69,23
70,21
71,23
72,21
73,23
74,21
75,21
76,23
77,21
78,23
79,22
80,21
81,21
82,32
83,21
84,32
85,32
86,21
87,21
88,32
89,21
90,32
91,32
92,21
93,21
94,32
95,21
96,32
97,21
98,21
99,32
100,21
101,21
102,21
103,32
104,21
105,32
106,20
107,32
108,20
109,32
110,20
111,20
112,32
113,20
114,31
115,20
116,20
117,31
118,20
119,29
120,29
121,20
122,29
123,20
124,29
125,20
126,29
127,29
128,20
129,20
130,29
131,20
132,29
133,29
134,20
135,19
136,29
137,19
138,29
139,29
140,19
141,29
142,19
143,29
144,19
145,29
146,19
147,18
148,28
149,18
150,28
151,28
152,18
153,28
154,18
155,18
156,26
157,26
158,17
159,26
160,17
161,17
162,25
