frame,active_count
1,14
2,17
3,12
4,17
5,12
6,9
7,12
8,10
9,17
10,17
11,18
12,17
13,18
14,17
15,17
16,18
17,17
18,17
19,17
20,17
21,18
22,16
23,16
24,16
25,16
26,16
27,15
28,13
29,16
30,16
31,13
32,15
33,14
