frame,processing_time_ms
1,3725.3806591033936
2,179.31008338928223
3,185.13917922973633
4,179.92782592773438
5,183.41994285583496
6,179.90589141845703
7,176.59854888916016
8,177.59943008422852
9,181.46705627441406
10,184.0527057647705
11,183.1381320953369
12,179.50797080993652
13,178.87306213378906
14,189.24283981323242
15,186.04588508605957
16,179.07023429870605
17,182.50036239624023
18,179.8107624053955
19,177.25110054016113
20,177.09088325500488
21,178.5428524017334
22,181.17785453796387
23,181.1826229095459
24,182.204008102417
25,179.40473556518555
26,178.99298667907715
27,180.7851791381836
28,183.44998359680176
29,183.4702491760254
30,190.94228744506836
31,181.81467056274414
32,178.3590316772461
33,189.0547275543213
34,199.81789588928223
35,179.365873336792
36,181.0295581817627
37,206.59136772155762
38,280.58314323425293
39,248.9778995513916
40,217.28873252868652
