frame,cars,police,robber
1,15,2,0
2,12,2,0
3,15,2,0
4,15,2,0
5,17,2,1
6,16,2,0
7,18,2,1
8,16,2,0
9,18,2,1
10,15,1,0
11,17,1,1
12,14,2,0
13,16,1,1
14,14,1,0
15,14,1,0
16,16,0,1
17,15,2,0
18,15,0,1
19,15,1,1
20,15,1,0
21,14,2,0
22,15,1,1
23,16,1,1
24,15,1,0
25,18,0,1
26,15,1,0
27,14,2,0
28,17,1,1
29,14,1,0
30,14,2,1
31,16,2,1
32,13,1,0
33,13,1,0
34,15,2,1
35,13,1,0
36,15,2,1
37,13,1,0
38,13,0,0
39,17,2,1
40,12,1,0
41,19,2,1
42,16,1,1
43,12,1,0
44,15,0,0
45,18,2,1
46,13,2,0
47,16,2,1
48,17,1,1
49,14,1,0
50,16,0,0
51,12,2,0
52,15,0,0
53,15,1,1
54,13,2,0
55,14,0,0
56,12,1,0
57,15,2,1
58,16,2,1
59,13,2,0
60,12,0,0
61,17,2,1
62,12,0,0
63,18,0,1
64,13,0,0
65,19,0,1
66,14,0,0
67,17,2,1
68,14,1,0
69,18,1,1
70,18,1,1
71,15,1,0
72,17,1,1
73,19,1,1
74,17,0,1
75,18,1,1
76,19,1,1
77,17,1,1
78,20,0,1
79,22,0,1
80,18,0,1
81,21,1,1
82,20,1,1
83,17,0,1
84,13,2,0
85,21,2,1
86,16,2,0
87,23,2,0
88,21,2,0
89,13,2,0
90,20,3,0
91,15,2,0
92,14,2,0
93,19,1,0
94,23,0,1
95,10,2,1
96,20,1,1
97,11,2,1
98,12,1,1
99,20,1,1
100,12,3,0
101,20,1,1
102,15,2,0
103,20,1,0
104,20,0,0
105,13,0,0
