frame,processing_time_ms
1,4085.913896560669
2,214.65277671813965
3,222.40114212036133
4,204.3156623840332
5,202.33464241027832
6,195.51515579223633
7,203.25112342834473
8,200.0572681427002
9,203.7208080291748
10,213.37223052978516
11,200.40130615234375
12,269.855260848999
13,208.3120346069336
14,199.18012619018555
15,200.2706527709961
16,200.19221305847168
17,202.4383544921875
18,194.72527503967285
19,200.2406120300293
20,202.04925537109375
21,201.14874839782715
22,202.0108699798584
23,202.8970718383789
24,204.91647720336914
25,202.4693489074707
26,199.91803169250488
27,203.47285270690918
28,269.4354057312012
29,197.67045974731445
30,193.94564628601074
31,197.1299648284912
32,196.8696117401123
33,199.89657402038574
34,201.88212394714355
35,196.86079025268555
36,197.5564956665039
37,207.31043815612793
