frame,processing_time_ms
1,3864.7289276123047
2,242.10262298583984
3,198.90618324279785
4,196.51007652282715
5,197.30329513549805
6,198.9729404449463
7,195.34540176391602
8,194.83542442321777
9,244.5378303527832
10,241.96743965148926
11,204.7405242919922
12,205.22713661193848
13,218.0311679840088
14,196.44641876220703
15,202.53300666809082
16,236.10305786132812
17,199.0368366241455
18,198.53758811950684
19,194.92435455322266
20,194.74244117736816
21,196.8214511871338
22,195.8167552947998
23,200.10137557983398
24,196.46239280700684
25,196.02155685424805
26,199.88632202148438
27,198.58694076538086
28,203.13310623168945
29,235.75305938720703
30,202.06713676452637
31,203.1688690185547
32,224.94125366210938
33,226.67813301086426
34,205.0480842590332
35,208.0399990081787
36,195.94860076904297
37,201.86829566955566
38,203.6147117614746
39,197.645902633667
