frame,timestamp,x,y,vx,vy
23,16.205835342407227,636.0,18.0,-10.545292570431993,0.0
24,16.53064274787903,629.0,18.0,-21.529250615223518,0.0
27,17.458083629608154,601.0,18.0,-30.161922382699295,0.0
29,17.976892709732056,594.0,18.0,-13.474308744815787,0.0
30,18.299624919891357,587.0,18.0,-21.787217874939245,0.0
33,19.42474937438965,560.0,19.0,-23.994314904941195,0.8886783298126368
35,19.932862758636475,553.0,19.0,-13.77260754759996,0.0
38,20.9503972530365,537.0,19.0,-15.736051926333115,0.0
40,21.46836495399475,533.0,19.0,-7.707308871353408,0.0
41,21.78218102455139,531.0,19.0,-6.362901843348033,0.0
44,22.823603630065918,516.0,19.0,-14.412243677776493,0.0
46,23.335342168807983,512.0,19.0,-7.8146056765436755,0.0
49,24.37821340560913,512.0,19.0,0.0,0.0
51,24.906909227371216,512.0,19.0,0.0,0.0
52,25.242812156677246,512.0,19.0,0.0,0.0
54,25.75071620941162,512.0,19.0,0.0,0.0
67,29.826860666275024,544.0,18.0,30.272281019576496,-0.9460087818617655
69,30.348243474960327,533.0,19.0,-21.158416136720405,1.9234923760654912
76,32.74022150039673,231.0,17.0,-27.12140377901818,0.0
78,33.32399106025696,224.0,17.0,-11.980630310617705,0.0
79,33.63401198387146,217.0,17.0,-22.668202579963744,0.0
82,34.59123158454895,190.0,17.0,-28.245239239575287,0.0
84,35.09913492202759,184.0,17.0,-11.839854567216086,0.0
85,35.4005024433136,177.0,17.0,-23.13814262049356,0.0
88,36.477747678756714,203.0,16.0,24.137389258794776,-0.9283611253382607
90,36.97983407974243,197.0,16.0,-11.989811971219677,0.0
128,47.923948526382446,36.0,54.0,0.0,17.944346182984983
129,48.27488923072815,36.0,85.0,0.0,88.56186055382058
131,48.88487482070923,37.0,97.0,1.6385510539252837,19.662612647103405
134,49.56830096244812,37.0,107.0,0.0,14.618848303670793
135,50.130446910858154,55.0,116.0,32.030342871907,16.0151714359535
137,50.71574378013611,54.0,110.0,-1.707992000628743,-10.24795200377246
149,54.14675712585449,37.0,261.0,0.0,11.068738602849283
152,54.92377495765686,37.0,261.0,0.0,0.0
154,55.41715478897095,37.0,261.0,0.0,0.0
155,55.71272134780884,37.0,261.0,0.0,0.0
158,56.483189821243286,37.0,261.0,0.0,0.0
160,56.97040152549744,110.0,449.0,150.11530941431414,386.5983310943981
161,57.26987957954407,117.0,450.0,23.34658474192833,3.3352263917040466
