frame,cars,police,robber
1,15,2,0
2,12,2,0
3,11,1,0
4,15,2,0
5,16,2,0
6,18,2,0
7,14,2,0
8,18,2,0
9,15,2,0
10,18,2,0
11,18,2,0
12,14,2,0
13,19,2,0
14,13,2,0
15,19,2,0
16,19,2,0
17,13,2,0
18,18,2,0
19,13,2,0
20,18,2,1
21,13,2,0
22,17,2,0
23,17,2,0
24,14,2,0
25,13,2,0
26,17,2,1
27,17,2,1
28,12,2,0
29,17,2,1
30,12,2,0
31,12,2,0
32,14,2,1
33,11,2,0
34,15,1,1
35,15,2,1
36,11,1,0
37,11,2,0
38,17,1,1
39,10,1,0
40,17,1,1
41,18,0,1
42,10,1,0
43,11,2,0
44,18,1,1
45,13,1,0
46,21,1,1
47,20,1,1
48,15,2,0
49,13,1,0
50,20,0,1
51,13,2,0
52,18,0,1
53,19,1,0
54,12,1,0
55,11,1,0
56,12,1,0
57,12,1,0
58,14,1,0
59,12,1,0
60,13,2,0
61,12,1,0
62,14,0,0
63,18,2,1
64,14,0,0
65,17,2,1
66,18,1,1
67,12,0,0
68,19,1,1
69,12,2,0
70,17,2,1
71,12,1,0
72,17,2,1
73,17,2,1
74,11,2,0
75,18,1,1
76,13,1,0
77,20,2,1
78,16,2,1
79,15,1,0
80,15,2,0
81,15,1,0
82,15,1,0
83,17,2,1
84,17,2,1
85,16,2,0
86,16,2,1
87,14,2,0
88,15,3,1
89,14,1,0
90,17,1,1
91,13,2,0
92,18,1,1
93,19,1,1
94,15,1,0
95,13,2,0
96,20,2,1
97,16,0,0
98,18,2,1
99,18,2,1
100,15,1,0
101,13,0,0
102,17,2,1
103,13,2,0
104,17,1,1
105,21,1,1
106,14,0,0
107,19,0,1
108,13,1,0
109,18,0,1
110,12,2,0
111,18,0,1
112,16,1,1
113,13,1,0
114,15,1,0
115,20,0,1
116,16,1,0
117,18,0,1
118,18,0,1
119,15,1,0
120,14,0,0
121,18,2,1
122,12,1,0
123,15,3,1
124,17,0,1
125,12,2,0
126,16,1,0
127,17,0,1
128,16,0,0
129,18,0,1
130,16,0,1
131,16,1,0
132,14,2,0
133,16,1,1
134,14,1,0
135,15,2,1
136,15,2,1
137,14,2,1
138,17,1,1
139,17,2,1
140,15,1,1
141,18,2,1
142,18,1,1
143,14,1,1
144,15,2,1
145,16,2,1
146,15,3,1
147,15,2,1
148,16,2,1
149,14,3,1
150,15,2,1
151,17,1,1
152,14,2,0
153,17,3,1
154,14,2,0
155,21,1,1
156,20,1,1
157,15,2,0
158,15,1,0
159,17,2,1
160,14,1,0
161,16,2,1
162,16,3,1
163,14,1,0
164,15,2,0
165,19,1,1
