frame,cars,police,robber
1,15,2,0
2,12,2,0
3,15,2,0
4,16,2,1
5,17,2,0
6,14,2,1
7,17,2,0
8,14,2,1
9,14,2,1
10,12,1,1
11,13,2,1
12,17,2,0
13,14,1,1
14,18,1,0
15,19,1,0
16,13,1,1
17,13,2,1
18,18,0,0
19,13,0,1
20,17,1,0
21,17,0,0
22,13,1,1
23,11,2,1
24,13,2,1
25,14,2,1
26,12,3,1
27,12,2,1
28,18,0,0
29,13,2,1
30,18,0,0
31,13,2,1
32,17,2,0
33,14,2,1
34,14,1,1
35,16,1,0
36,14,1,0
37,13,2,1
