track_id,length_frames
0,154
1,44
2,154
3,154
4,154
5,63
6,102
7,154
8,154
9,143
10,154
11,142
12,96
13,152
14,147
15,145
16,153
17,130
18,103
19,111
20,111
21,111
22,111
23,81
24,81
25,81
26,63
27,41
28,41
29,20
30,20
31,20
