frame,police_id,can_intercept,time_to_intercept,distance
9,0,0,-1,0.0
9,1,0,3.0,171.76497372842675
11,0,0,-1,0.0
11,1,0,-1,0.0
13,0,0,3.0,59.09757100850055
13,1,0,3.0,59.09757100850055
14,0,1,2.1,114.56260927572126
14,1,0,3.0,163.66087039388748
16,0,0,3.0,28.163955972331394
16,1,0,3.0,28.163955972331394
18,1,0,3.0,41.159923456334354
19,1,0,-1,0.0
20,1,0,-1,0.0
20,6,0,3.0,48.19384609727848
21,1,0,-1,0.0
21,6,0,-1,0.0
22,1,0,-1,0.0
22,6,0,-1,0.0
23,1,0,-1,0.0
23,6,0,3.0,66.81712870451635
24,1,0,-1,0.0
24,6,0,3.0,57.24939810289618
25,1,0,-1,0.0
25,6,0,3.0,69.7176367151088
26,1,0,-1,0.0
26,6,0,-1,0.0
27,1,0,-1,0.0
27,6,0,3.0,57.61498925120134
28,1,0,-1,0.0
28,6,0,-1,0.0
28,12,0,3.0,76.40385088302531
29,1,0,-1,0.0
29,6,0,-1,0.0
29,12,0,3.0,53.33154754966887
30,1,1,0.8999999999999999,23.196677387167824
30,6,0,3.0,77.32225795722604
30,12,0,3.0,77.32225795722604
31,1,0,3.0,58.91702047857883
31,6,0,-1,0.0
31,12,0,3.0,58.91702047857883
32,6,0,-1,0.0
32,12,0,3.0,69.18651863999283
33,6,0,3.0,57.38651683343517
33,12,0,3.0,57.38651683343517
34,6,0,3.0,67.82863888004765
34,12,0,3.0,67.82863888004765
