frame,processing_time_ms
1,4082.3991298675537
2,206.87556266784668
3,203.52554321289062
4,206.50386810302734
5,201.31826400756836
6,194.14925575256348
7,197.50142097473145
8,201.58123970031738
9,342.8668975830078
10,207.6280117034912
11,209.9897861480713
12,209.4733715057373
13,207.73863792419434
14,204.2090892791748
15,206.1913013458252
16,237.60700225830078
17,206.41231536865234
18,197.6637840270996
19,205.735445022583
20,205.30343055725098
21,217.34619140625
22,207.66615867614746
23,208.4193229675293
24,205.9347629547119
25,204.2396068572998
26,201.38144493103027
27,209.37252044677734
28,203.02319526672363
29,221.05789184570312
30,202.74782180786133
31,238.8908863067627
32,208.04595947265625
33,204.8656940460205
34,207.5345516204834
35,205.84940910339355
36,201.0023593902588
37,205.59215545654297
38,202.97622680664062
39,207.78417587280273
40,252.71010398864746
41,211.86494827270508
42,214.50018882751465
43,204.70643043518066
44,210.20054817199707
45,212.85033226013184
46,203.385591506958
47,202.24738121032715
48,208.02021026611328
49,202.48961448669434
50,210.19315719604492
51,204.47254180908203
52,198.93980026245117
53,208.02712440490723
54,200.3028392791748
55,202.03089714050293
56,204.32543754577637
57,206.18081092834473
58,207.78536796569824
59,202.64625549316406
60,243.75081062316895
61,207.98563957214355
62,207.7329158782959
