frame,timestamp,x,y,vx,vy
5,9.857186317443848,426.0,16.0,0.0,0.0
7,10.477894067764282,423.0,17.0,-4.837890137640341,1.6126300458801135
10,11.757315635681152,445.0,28.0,17.20336525249648,8.60168262624824
12,12.31101655960083,448.0,24.0,5.419863380410909,-7.226484507214546
21,15.104610443115234,269.0,18.0,-41.01573026915567,0.0
23,15.599292993545532,262.0,17.0,-14.17026737575611,-2.0243239108223015
24,15.907124757766724,257.0,16.0,-16.191173246121966,-3.238234649224393
27,16.945273876190186,229.0,17.0,-26.944654260341032,0.9623090807264655
29,17.555120706558228,223.0,17.0,-9.862970920375334,0.0
35,19.40329933166504,223.0,17.0,0.0,0.0
37,19.906203746795654,170.0,18.0,-11.95549934963073,0.0
38,20.275665998458862,163.0,18.0,-18.922131514685535,0.0
41,21.31164050102234,135.0,17.0,-27.04727494826172,-0.9659741052950613
43,21.859054803848267,128.0,18.0,-12.803416090021228,1.8290594414316041
45,22.56881332397461,108.0,18.0,-28.071374025621136,0.0
47,23.09503149986267,101.0,18.0,-13.336256153115542,0.0
53,25.014569759368896,55.0,27.0,-23.952675157163917,4.686392965532071
55,25.521055459976196,51.0,31.0,-7.922338752709295,7.922338752709295
56,25.81840991973877,46.0,37.0,-16.706168008692632,20.04740161043116
68,29.336918592453003,46.0,37.0,0.0,0.0
70,29.828803062438965,46.0,37.0,0.0,0.0
72,30.549652099609375,46.0,37.0,0.0,0.0
74,31.05258584022522,46.0,37.0,0.0,0.0
75,31.35824751853943,46.0,37.0,0.0,0.0
78,32.39721083641052,46.0,37.0,0.0,0.0
80,32.8853235244751,46.0,37.0,0.0,0.0
81,33.21113419532776,37.0,200.0,0.0,24.586450441948102
82,33.40974712371826,36.0,70.0,0.0,9.74119845415552
83,33.94076156616211,37.0,98.0,1.8797301881879576,52.63244526926281
84,34.23160767555237,37.0,200.0,0.0,0.0
85,34.52678036689758,37.0,103.0,0.0,8.532031448651837
88,35.22234559059143,37.0,111.0,0.0,11.518189298320832
89,35.79076075553894,56.0,100.0,33.43478474293465,-19.356980640646377
91,36.379764795303345,56.0,90.0,0.0,-16.95012764210262
