frame,active_count
1,17
2,14
3,17
4,23
5,24
6,23
7,24
8,23
9,23
10,24
11,23
12,24
13,23
14,23
15,24
16,23
17,24
18,24
19,23
20,23
21,24
22,23
23,24
24,24
25,23
26,23
27,24
28,23
29,24
30,23
31,23
32,23
33,23
34,23
35,24
36,23
37,24
38,24
39,23
40,22
41,24
42,22
43,24
44,22
45,24
46,22
47,24
48,22
49,22
50,22
51,22
52,21
53,24
54,21
55,24
56,24
57,21
58,21
59,21
60,21
61,21
62,21
63,21
64,21
65,21
66,20
67,20
68,24
69,19
70,24
71,19
72,24
73,19
74,24
75,24
76,19
77,19
78,24
79,19
80,24
81,24
82,19
83,18
84,24
85,18
86,24
87,23
88,18
89,18
90,23
91,18
92,23
93,23
94,18
95,18
96,23
97,18
98,23
99,23
100,18
101,18
102,23
103,18
104,23
105,22
106,18
107,18
108,22
109,18
110,22
111,22
112,17
113,22
114,17
115,22
116,22
117,22
118,22
119,22
120,22
121,22
122,22
123,22
124,22
125,22
