frame,processing_time_ms
1,3873.8296031951904
2,203.22847366333008
3,215.13056755065918
4,241.01638793945312
5,233.6881160736084
6,285.62235832214355
7,227.60581970214844
8,237.1349334716797
9,191.8509006500244
10,210.80350875854492
11,198.37617874145508
12,190.2322769165039
13,187.67642974853516
14,190.20700454711914
15,195.07622718811035
16,209.89489555358887
17,195.14036178588867
18,194.2126750946045
19,190.15765190124512
20,192.92736053466797
21,191.47062301635742
22,186.07330322265625
23,196.68149948120117
24,192.05379486083984
25,190.50908088684082
26,193.3915615081787
27,191.57958030700684
28,193.66836547851562
29,224.01690483093262
30,191.27321243286133
31,189.8653507232666
32,185.61887741088867
33,205.76167106628418
34,192.37208366394043
35,190.68479537963867
36,191.1463737487793
37,191.10727310180664
