frame,active_count
1,17
2,14
3,14
4,17
5,24
6,17
7,24
8,17
9,17
10,24
11,17
12,24
13,17
14,24
15,17
16,17
17,24
18,17
19,24
20,17
21,21
22,24
23,21
24,24
25,24
26,21
27,24
28,21
29,21
30,24
31,21
32,24
33,21
34,24
35,24
36,21
37,21
38,24
39,21
40,21
41,24
42,21
43,24
44,20
45,24
46,20
47,24
48,20
49,24
50,24
51,20
52,20
53,20
54,24
55,20
56,24
57,20
58,20
59,24
60,20
61,20
62,24
63,24
64,20
65,20
66,24
67,20
68,24
69,20
70,24
71,20
72,24
73,20
74,24
75,20
76,20
77,24
78,24
79,20
80,20
81,20
82,24
83,20
84,24
85,20
86,20
87,24
88,20
89,24
90,24
91,20
92,24
93,19
94,24
95,19
96,24
97,24
98,19
99,24
100,19
101,23
102,19
103,19
104,19
105,23
106,19
107,23
108,19
109,23
110,18
111,23
112,23
113,18
114,18
115,23
116,18
117,22
118,22
119,17
120,16
121,22
122,16
123,21
124,21
125,24
126,24
127,21
128,24
129,21
130,21
131,24
132,21
