frame,processing_time_ms
1,3714.1964435577393
2,177.79541015625
3,177.60062217712402
4,178.67422103881836
5,172.1656322479248
6,180.31740188598633
7,173.9645004272461
8,179.29935455322266
9,179.1074275970459
10,177.5050163269043
11,177.52742767333984
12,176.33700370788574
13,183.40277671813965
14,179.40425872802734
15,180.7703971862793
16,187.0596408843994
17,179.34632301330566
18,183.0308437347412
19,180.88364601135254
20,178.55405807495117
21,180.2666187286377
22,245.36466598510742
23,253.68499755859375
24,241.35351181030273
25,213.4847640991211
26,180.73272705078125
27,178.2522201538086
28,189.85390663146973
29,197.2362995147705
30,249.1621971130371
31,264.9340629577637
32,241.1794662475586
33,265.869140625
34,248.42143058776855
35,224.09987449645996
36,263.8068199157715
37,229.24304008483887
38,224.89523887634277
39,273.3876705169678
40,271.0227966308594
41,246.68598175048828
42,229.50410842895508
43,197.10230827331543
44,224.90358352661133
45,206.64668083190918
46,252.4399757385254
47,254.4424533843994
48,230.6818962097168
49,210.47568321228027
50,182.4047565460205
51,186.2022876739502
52,176.70249938964844
53,179.18825149536133
54,181.93769454956055
55,190.09137153625488
56,183.7007999420166
57,184.65161323547363
58,180.9823513031006
59,196.852445602417
60,182.6763153076172
61,177.5984764099121
62,191.15185737609863
63,185.81247329711914
64,181.26654624938965
65,184.56602096557617
66,175.3687858581543
67,178.8647174835205
68,183.27951431274414
69,176.99050903320312
70,183.28046798706055
71,185.1811408996582
72,180.09305000305176
73,179.94427680969238
74,181.55241012573242
75,186.7046356201172
76,180.40776252746582
77,177.6416301727295
78,181.71954154968262
79,176.57208442687988
80,195.50657272338867
81,183.09473991394043
82,190.62423706054688
83,178.47108840942383
84,184.02552604675293
85,196.38657569885254
86,183.9313507080078
87,196.78092002868652
88,186.60807609558105
