frame,cars,police,robber
1,15,2,0
2,12,2,0
3,15,2,0
4,16,2,0
5,17,2,1
6,14,2,0
7,17,2,1
8,14,2,0
9,14,2,0
10,17,2,1
11,13,2,0
12,19,1,1
13,14,1,0
14,14,2,0
15,17,1,1
16,14,2,0
17,18,1,1
18,17,0,1
19,15,1,0
20,14,3,0
21,16,1,1
22,16,1,0
23,16,1,1
24,17,1,1
25,14,2,0
26,12,1,0
27,13,0,1
28,14,1,0
29,13,3,1
30,13,0,0
31,10,1,0
32,11,0,0
33,13,0,0
34,13,0,0
35,13,2,1
36,10,1,0
37,15,2,1
38,15,2,1
39,11,0,0
40,13,1,0
41,17,2,1
42,12,2,0
43,19,1,1
44,9,1,0
45,17,1,1
46,12,0,0
47,17,0,1
48,13,2,0
49,13,2,0
50,13,2,0
51,14,2,0
52,11,3,0
53,15,3,1
54,11,2,0
55,15,2,1
56,14,2,1
57,14,2,0
58,11,2,0
59,12,1,0
60,12,1,0
61,11,1,0
62,13,1,0
63,14,1,0
64,13,1,0
65,14,1,0
66,14,2,0
67,15,2,0
68,14,1,1
69,15,1,0
70,16,1,1
71,15,3,1
72,16,1,1
73,14,3,1
74,17,2,1
75,17,2,1
76,15,1,1
77,16,2,1
78,19,1,1
79,16,2,1
80,19,1,1
81,19,0,1
82,15,2,1
83,13,2,1
84,16,0,1
85,12,2,1
86,19,0,1
87,21,0,1
88,14,2,1
89,15,0,1
90,19,0,1
91,13,1,0
92,16,2,1
93,17,1,1
94,15,1,0
95,13,0,0
96,19,0,1
97,14,0,0
98,18,0,1
99,18,0,1
100,14,0,0
101,14,0,0
102,17,1,1
103,15,0,0
104,17,1,1
105,17,1,0
106,14,0,0
107,13,1,0
108,19,2,0
109,13,2,0
110,19,1,0
111,18,2,0
112,14,2,0
113,19,3,0
114,15,2,0
115,18,2,0
116,15,3,0
117,18,2,0
118,18,3,0
119,12,4,0
120,11,1,0
121,17,2,0
122,12,1,0
123,18,1,0
124,17,1,0
125,12,1,0
