track_id,length_frames
0,47
1,47
2,47
3,47
4,47
5,47
6,47
7,44
8,47
9,47
10,47
11,47
12,44
13,47
14,43
15,46
16,46
17,44
18,44
19,44
20,44
21,44
22,44
23,20
