frame,processing_time_ms
1,3994.8177337646484
2,204.8792839050293
3,226.2272834777832
4,196.80428504943848
5,198.59552383422852
6,195.52922248840332
7,197.9055404663086
8,191.32375717163086
9,197.42536544799805
10,208.1313133239746
11,201.16877555847168
12,216.46499633789062
13,216.97449684143066
14,202.99410820007324
15,200.5598545074463
16,200.12664794921875
17,200.56891441345215
18,200.73747634887695
19,196.1684226989746
20,197.17717170715332
21,198.28248023986816
22,193.2225227355957
23,207.9775333404541
24,200.56438446044922
25,203.83906364440918
26,200.11353492736816
27,201.13253593444824
28,196.57611846923828
29,199.38397407531738
30,231.18948936462402
31,261.57522201538086
32,203.57513427734375
33,202.58569717407227
34,207.4902057647705
35,262.6638412475586
36,216.4630889892578
37,232.89036750793457
