frame,active_count
1,17
2,14
3,12
4,17
5,14
6,10
7,13
8,12
9,16
10,20
11,20
12,16
13,20
14,14
15,19
16,19
17,15
18,20
19,14
20,20
21,14
22,19
23,18
24,15
25,14
26,17
27,19
28,14
29,20
30,14
31,12
32,17
33,12
34,16
35,16
36,12
37,11
38,16
39,11
40,15
41,18
42,10
43,9
44,16
45,13
46,20
47,18
48,14
49,14
50,19
51,13
52,19
53,18
54,13
55,12
56,11
57,13
58,13
59,13
60,13
61,13
62,13
63,16
64,13
65,19
66,19
67,12
68,19
69,10
70,20
71,13
72,19
73,20
74,12
75,18
76,13
77,20
78,17
79,14
80,17
81,16
82,14
83,16
84,19
85,14
86,19
87,16
88,17
89,14
90,17
91,14
92,18
93,18
94,15
95,14
96,19
97,14
98,20
99,20
100,14
101,12
102,18
103,13
104,19
105,19
106,13
107,18
108,13
109,19
110,13
111,19
112,18
113,13
114,14
115,17
116,14
117,17
118,17
119,16
120,12
121,17
122,12
123,19
124,18
125,11
126,13
127,17
128,15
129,18
130,17
131,15
132,15
133,16
134,13
135,18
136,18
137,13
138,15
139,17
140,17
141,18
142,19
143,15
144,16
145,17
146,18
147,16
148,18
149,18
150,17
151,16
152,14
153,18
154,14
155,21
156,21
157,15
158,15
159,19
160,15
161,19
162,19
163,14
164,14
165,20
